Category,Resume
Automation Testing,"SKILLS Agile Methodology Scrum Kanban Extreme ProgrammingXP Testdriven development TDD and Feature Driven developmentFDD Domain Industrial Automation Retail Banking Insurance Health care Automation Framework Modular Data driven BPT Hybrid Test automation tool HP UFT TAF Load Runner Selenium Rational Robot DCMTK sikuli languages VB Script C Python Shell Script Bug Tracking Tool Bugzilla Jira HP Quality Control AP Test Clear Quest Version management Clear case Win CVS SVN Database Oracle SQL server MySQL Network Protocols TCPIP HTTP HTTPS VPN FTP LDAP Healthcare DICOM PACS HL7 Image Archiving Image reconstruction Rockwell Automation Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles Education Details 
Bachelor of Science Computer Science Mumbai Maharashtra Mumbai UniversityQA Automation LeadQA Automation LeadSkill Details 
C Exprience  63 months
PYTHON Exprience  109 months
UFT Exprience  85 months
SELENIUM Exprience  85 months
SQL Exprience  69 monthsCompany Details 
company  Leading Industrial Automation
description  Responsibilities
Test Rockwell Automation embedded systems such as Logix Designer Factory Talk RSLinx Classic Control Flash Compare Tool IO modules and Profiles
Coordinate with Onsite and Offshore QA leads to design and develop test strategy and test plan
Document test plan and test cases base on product Requirement Document and functional specification Discussed and explained the requirement to QA team
Work in Scrum base Agile Methodology and Test Driven development environment with frequent changing requirements and lots of challenges
Document and Published Program Increment Objectives Program Increment planning report Feature Epics Backlog and Stories
Conduct and Participated in Program Increment Planning Backlog Grooming Sprint Planning Daily Stand Ups Sprint Review and Retrospective
Perform Automation testing tasks such as Design Create Maintain Execute and peer review test scripts using Test Automation FrameworkTAF
Develop and Execute System integration and GUI integration test using C
Interact with Business Analysts and Software Developers for bug review and participated in QA meetings
Work closely with development and engineering department to ensure proper resolution of bugs
Proactively came up with innovative methods to improve software quality test coverage efficiency and regression coverage
Created and Maintained testing documents such as High Level Requirement Test strategy report Test plan Test cases Test execution results Bug report Quality Metrics Traceability Matrix and Testing Summary Reports
Environment Logix Designer Factory Talk RSLinx Classic ControlFlash CompareTool IO modules Profiles Test Automation FrameworkTAF C Python Selenium Clear Case Clear Quest UFT Collaborative Lifecycle Management and Versionone
company  GEHealthcare
description  Responsibilities
Validated GE CT scanners based on FDA compliances and regulations
Interacted with Clinical experts Business Analysts and Development architect for creation of test strategy and test plan
Coordinated with the Offshore QA and Onsite QA team to work on design and develop of test strategies and requirement traceability matrix
Designed Created and executed manual test cases base on product requirement documents
Increased productivity by initiating use of automation tools like DICOM and QTP
Trained and guided GE team on automation test creation and execution using QTP
Performed testing types such as functional integration performance and regression and Provide test reports to management
Involved in release support test bed creation  testing throughout release process
Environment Agile Testdriven development TDD DICOM HL7 Image reconstruction Windows Linux SQL C Python QTP HTML XML QTP VBScripts and QC
company  PatniGEHealthcare PACS
description  Responsibilities
Validated GE PACS application and tested web application defined for Administration Authentication and Archiving of DICOM images
Involved in the creation of Automation framework by using Hybrid and BPT approach
Responsible for creation of Test Bed and Golden Data using DCMTK
Prepared the Test Scenarios Test plan Test cases and Automation Scripts for Integration System and EndtoEnd testing on all applications
Designed and developed User defined and Generic functions with wellversed VB scripting
Descriptive programming in scripting dynamic objects and reusable actions in defining scenario flows in UFTQTP
Reviewed the QTP Scripts developed by the team members
Supported the QASIT and Regression testing team for environmental issues and Interact with other downstream environment system team for the clarifications
Environment Agile Testdriven development TDD GE PACS DICOM HL7 Image reconstruction Image Construction Windows Linux SQL C Python Selenium QTP HTML XML QTP JavaScript VBScripts and QC
company  HDFC Bank Limited
description  Responsibilities
Reviewed Business requirements design documents and prepared test cases for assigned project releases
Performed testing types such as API functional integration System performance regression security and network Provide test reports to management
Involved in integration testing for release of new functionality
Testing critical bugs fixes and coordinate with developer in fixing these critical bugs
Involved in backend database testing in oracle and Microsoft SQL
Involved in release support test bed setup  testing throughout release process
Automation of test flows using automated tools QTP 10
Environment Windows Linux SQL C Python QTP HTML XML QTP JavaScript VBScripts and QC
company  Vistaar Systems Limited
description  Responsibilities
Referred Business requirements documents Use case documents and Design documents provided by client and developer for creation of Manual and Automation test cases
Involved in Analysis Design Creation Execution and Debugging of automation scripts using automation tools like Rational Robot QTP and Shell scripting
Testing critical bugs fixes and coordinate with developer in fixing these critical bugs
Involved in Installation of build Maintaining test bed Smoke and Sanitary testing Regression testing Performance testing and Database testing using Rational Robot QTP and Shell scripting
Environment Windows Linux SQL Rational Robot V2002 and QTP V 92"
Blockchain,"Hobbies  Playing Chess  Solving Rubiks Cube  Watching Series Languages  English  Hindi  Marathi Education Details 
January 2014 to January 2017 Bachelors Degree Information Technology First Class Pune Maharashtra JSPMs Jayawantrao Sawant College of Engineering
January 2010 to January 2014 Diploma Information Technology First Class Nashik Maharashtra K K Wagh Polytechnic
January 2010 SSC First Class  Nashik Maharashtra New Era English SchoolBlockchain DeveloperBlockchain Developer  Corpcloud Global Services Pvt LtdSkill Details 
Blockchain Exprience  6 months
Smart Contracts Exprience  6 months
DApps Exprience  6 months
MEAN Stack Exprience  12 monthsCompany Details 
company  Corpcloud Global Services Pvt Ltd
description   Worked productively with the Team to identify requirements and proposed ideas on enhancing the product
Developing and managing users Blockchain account wallets and transactions
Regularly monitoring smooth executions of Blockchain transactions and wallet functions along with identifying and correcting possible errors
Writing smart contracts their APIs and documenting them
company  Corpcloud Global Services Pvt Ltd
description   Identifying complex bugs in the system and resolving them
Implemented and updated application modules under the direction of Seniors
Effectively coded required changes and alterations and checked in into repository using Bit Bucket
Performed code checkins and checkouts regularly and worked with APIs"
Data Science,"Personal Skills  Ability to quickly grasp technical aspects and willingness to learn  High energy levels  Result oriented Education Details 
January 2018 Master of Engineering Computer Technology  Application Bhopal Madhya Pradesh Truba Institute of Engineering  Information Technology
January 2010 BE computer science Bhopal Madhya Pradesh RKDF Institute of Science and Technology College of Engineering
January 2006 Polytechnic Information Technology Vidisha Madhya Pradesh SATI Engineering College in Vidisha
January 2003 Mtech Thesis Detail  BMCH School in Ganj basodaData scienceI have six month experience in Data Science Key Skills  Experience in Machine Learning Deep Leaning NLP Python SQL Web Scraping Good knowledge in computer subjects and ability to updateSkill Details 
Experience in Machine Learning Deep Learning NLP Python SQL Web Crawling HTMLCSS Exprience  Less than 1 year monthsCompany Details 
company  RNTAI Technology Solution
description  Text classification using Machine learning Algorithms with python
Practical knowledge of Deep learning algorithms such as ?Recurrent Neural NetworksRNN
Develop custom data models and algorithms to apply to dataset
Experience with Python packages like Pandas Scikitlearn Tensor Flow Numpy Matplotliv NLTK
Comfort with SQL ?MYSQL
Sentiment analysis
Apply leave Dataset using classification technique like Tfidf  LSA with cosine similarity using Machine learning Algorithms
Web crawling using Selenium web driver and Beautiful Soup with python
company  Life Insurance Corporation of India Bhopal
description  ?Explaining policy features and the benefits
Updated knowledge of life insurance products and shared with customers"
Database,"Technical Skills Databases Oracle RDBMS 10g 11g  12c Technologyutilities Data Pump RMAN Data guard ASM RAC Golden Gate Tools OCC PUTTY SQLPLUS SQL Developer Netbackup SCOM SCCM VMWare Vsphere Operating Systems RHEL 60 RHEL 65 UNIX and Microsoft WindowsEducation Details 
Database AdministratorDatabase Administrator  BNY MellonSkill Details 
DATABASES Exprience  24 months
ORACLE Exprience  24 months
RMAN Exprience  24 months
NETBACKUP Exprience  24 months
SCOM Exprience  24 monthsCompany Details 
company  BNY Mellon
description  Databases 600
Team Size 8
Duration Jan 2017  Till Date
Clients Over 130 investment banking organizations who are hosted with Eagle
Responsibilities Database Management Support and managing critical production Preproduction test and reporting databases in different platforms Capacity Management Upgrades
Handling day to day database activities monitoring and incident management
Building new databases as per the requirement and prepare them for go live with the help of multiple teams
Working on scheduled activity of database patching CPU PSU  Installing latest path on production Dev and Test databases as per the suggestion from Oracle support
Database Upgrade from 11g and to 12c
Adding disks to ASM disk groups
Building DR database using Active Data guard Make it sync with prod and resolving issues if persists  Data Guard Management Checking lagging status removing lagging of archives checking processes like RFSMRP Archives Management  Working on tablespace related issues  Managing user access and profiles  Importing and exporting using datapump  Maintaining inventory of all databases in the single centralize database  Refreshing test environment from production database
Working with Oracle Support to resolve oracle errors
Schedule daily and weekly databases backup using RMAN Troubleshooting in RMAN issues
Database cloning using RMAN
Take part in cutover to upgrade application to higher version
Strictly following ITIL process in incident management and change management
Providing weekly report of issues in team meeting also participating and suggesting service improvement plans
Database Migrations from one server to another or to different platforms  RCA and impact analysis reporting during any production outage
Previous Organization Brose India
Project I Central IT Management
company  
description  Responsibilities Managing our internal databases and servers of Brose global
Providing 24x7 oncall support in the rotational shifts
Performing daytoday database activity  Monitoring and responding DBA group Mails for all alerts issues and adhoc business user requests etc
Database creation patching  Backup of Database in frequent cycles using Data pumpRMAN
Database refreshes using RMAN Datapump
Recovery using copy of data  RMAN  Monitoring logs and trace for resolving issues
Creating new VM servers and prepare it for go live Also decommissioning as per requirements
Weekly patching of windows servers using SCCM and taking actions for patching if needed  Monitoring and troubleshooting of daily and weekly OS backup using Symantec Netbackup  Managing user accounts of OS users and database users  Monitoring OS level alerts using SCOM
Project II Data Center Migration Onsite Project
Responsibilities Data center migration was one of activity for migration of our datacenter from one location to another Where our all servers and databases were moved successfully
Installation of Oracle 11g on Linux platforms  Worked on service requests Incidents  Change  Request  Creation of users managing user privileges  Configured RMAN backup for databases  Patching of databases  Configuring physical standby database using Dataguard  Cloning of servers and migrate to another cluster
ACADEMIA  PERSONAL DETAILS  Bachelor of Engineering BE in Computer Science and Engineering From SGBAU Amravati University Amravati in 2014 with CGPA of 721
Current Address       Mr Yogesh Tikhat CO Raj Ahmad Flat G2702 Dreams Aakruti Kalepadal Hadapsar Pune  411028
Highest Qualification   BE cse
PAN                   AOFPT5052C"
DevOps Engineer,"Total IT Experience 15 years Core expertise in Data Base Design PHP Python MySql JavaScript HTML 5 Ajax Jquery XML Agile Methodology DevOps Methodology Scrum Framework JIRA Tool GIT Bitbucket Anjular JS 1 Angular JS 2 Core Java J2EE Education Details 
April 2004 MCM Computer Management Pune Maharashtra Pune University
April 1998 BSc Maths  Kerala UniversityProject ManagerProject ManagerSkill Details 
Data Base Design PHP Python MySql JavaScript HTML Ajax XML Agile Methodology DevOps Methodology Scrum Framework JIRA Tool GIT Bitbucket Jquery  AngularJs Amazon MWS  Bootstrap Nodejs Laravel Scrum Exprience  120 monthsCompany Details 
company  Knoxed Infotech Pvt Ltd
description   Client interaction
Maintain work processes
Creates project plans through Agile Model  Methodology
Maintains project objectives
Working with multiprofiled teams of technical and non technical stakeholders
Monitors production and quality to customerstakeholdersponsor standards
Conduct office management tasks
Ensuring that the daytoday operations of the business run smoothly
Introducing key performance indicators KPIs and ensuring that these measurements are tracked
and reviewed on a regular basis
Prepare revise and submit weeklymonthly reports budgets and other documentation as
necessary
Document current policies and procedures in all departments as well as implement new procedures
for improvement
Maintain smooth running of the office filling in where needed
Implement quality management and regulatory compliance strategies
Dealing with HR related tasks
Administering payroll
Perform training sessions
Regular meetings with Top Management
Project Undertaken  Internal ERP system For Knoxed Ltd UK With PHP Mysql Ajax XML
Amazon AWS Raspberry pi Server Python
company  Venturus International
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
QC
Maintain tasks and jobs on task management system
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken  Internal ERP system For Knoxed Ltd UK With PHP Mysql Ajax XML
Amazon AWS
company  SmashingDay
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
Project documentation
Conduct and maintain appraisals and progress of each employee
Adhere to deadlines as necessary
Maintain work logs
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken 
a wwwSmashingDaycom
b wwwviralsocialscom
company  Xento Systems Pvt Ltd
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
QC
Maintain tasks and jobs on task management system
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken 
a wwwfamilylinkcom
b wwwpropertysolutionscom
c wwwspeedyceuscom
d wwwceusnursingcom
company  STP Global Solutions Pvt Ltd
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
Conduct and maintain appraisals and progress of each employee
QC
Maintain tasks and jobs on task management system
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken 
a wwwstplafricaonlinecom
b wwwstplafricacom
c www1stexpertcom
d wwwjccanetorg
e wwwrimsyseu
f wwwprayerlisterorg
company  Promark Infotech Pvt Ltd
description   Development  Design
Create new systems databases and websites as necessary
Project Undertaken 
a wwwjustbecom
b wwwmtpiancom
c wwwsababanlbooking
d wwwphysicaltherapyhiucom
company  7cees Group
description   Development  Design
Create new systems databases and websites as necessary
Project Undertaken 
a Golwinreality
b Maza"
DotNet Developer,"Education Details 
January 2014 Bcom Education Details Pune Maharashtra University Of Pune
January 2010 BCom  Pune Maharashtra University Of PuneSoftware DeveloperDot Net Developer with 3 years experienceSkill Details 
Ccaspnetjqueryajaxweb api Exprience  Less than 1 year months
Sql Exprience  Less than 1 year monthsCompany Details 
company  Technology  Dot Net
description   Previous Experience worked in SepSoft ERP Solutions From 1Jan 2016 To 24th Dec 2016
Designation  Software Developer
Technology  Dot Net
company  Sepsoft Erp Solution
description  Worked at Sepsoft Erp Solution as Dot Net Developer"
ETL Developer,"SKILL SET  Talend Big Data  Informatica Power center  Microsoft SQL Server  SQL Platform 621 Management Studio Workbench  AWS Services  Talend Administration Console  Microsoft Visual  Redshift TAC Studio  Athena  Data Warehouse Concept  Star  SQL  S3 Schema Facts Dimensions  Data Modeling   Data Integration Microsoft Access Education Details 
January 2012 to January 2016 BE  Mumbai Maharashtra University of Mumbai
January 2012 CBSE Technology Kochi Kerala St FrancisTalend ETL DeveloperTalend ETL Developer  Tata Consultancy ServicesSkill Details 
DATA WAREHOUSE Exprience  23 months
DATABASE Exprience  20 months
INTEGRATION Exprience  20 months
INTEGRATOR Exprience  20 months
MS SQL SERVER Exprience  20 monthsCompany Details 
company  Tata Consultancy Services
description  Prepared ETL mapping Documents for every mapping and Data Migration document for smooth transfer of project from development to testing environment and then to production environment Performed Unit testing and System testing to
validate data loads in the target Troubleshoot long running jobs and fixed the issues
Expertise in creating mappings in TALEND using Big Data supporting components such as tJDBCConfiguration tJDBCInput
tHDFSConfiguration tS3configuration tCacheOut tCacheIn tSqlRow and standard components like tFileInputDelimited
tFileOutputDelimited tMap tJoin tReplicate tParallelize tConvertType tAggregate tSortRow tFlowMeter tLogCatcher
tRowGenerator tJava tJavarow tAggregateRow tFilter etc
Used ETL methodologies and best practices to create Talend ETL jobs Followed and enhanced programming and naming
standards Developed jobs components and Joblets in Talend Used tRunJob component to run child job from a parent job and to pass parameters from parent to child job
Created and deployed physical objects including custom tables custom views stored procedures and indexes to SQL server for Staging and DataWarehouse environment Involved in writing SQL Queries and used Joins to access data from MySQL
Created and managed Source to Target mapping documents for all Facts and Dimension tables Broad design development and testing experience with Talend Integration Suite and knowledge in Performance Tuning of mappings
Extensively used tMap component which does lookup  Joiner Functions Experienced in writing expressions within tmap as per the business need Handled insert and update Strategy using tSQLRow
Created Implicit local and global Context variables in the job to run Talend jobs against different environments
Worked on Talend Administration Console TAC for scheduling jobs and adding users Experienced in Building a Talend job outside of a Talend studio as well as on TAC server
Developed mappings to load Fact and Dimension tables SCD Type 1 and SCD Type 2 dimensions and Incremental loading and unit tested the mappings
Developed Framework Integrated Job which schedules multiple jobs at a time and updates the last successful run time
success status sending mail for failed jobs maintaining the counts in SQL Database Used tParalleize component and multi
thread execution option to run subjobs in parallel which increases the performance of a job
Created Talend jobs to copy the files from one server to another and utilized Talend FTP components Implemented FTP
operations using Talend Studio to transfer files in between network folders as well as to FTP server using components like tFileList tS3Put tFTPut tFileExist tFTPConnection etc
Extracted data from flat files databases applied business logic to load them in the staging database as well as flat files
Successfully Loaded Data into different targets from various source systems like SQL Database DB2 Flatfiles XML files etc into the Staging table and then to the target database
company  Tata Consultancy Services
description  Experience in development and design of ETL Extract Transform and Loading data methodology for supporting data
transformations and processing in a corporate wide ETL Solution using TALEND Big Data Platform
Excellent working experience in Agile methodologies
Proficiency in gathering and understanding the client requirements and translate business needs into technical
requirements
Design and develop endtoend ETL process from various source systems to Staging area from staging to Data Warehouse
soliciting and documenting business functional and data requirements contextvariable diagrams use cases and ETL
related diagrams
Excellent oralwritten communication with ability to effectively work with onsite and remote teams
A good team player with excellent problem solving ability and time management skills having profound insight to determine
priorities schedule work and meet critical deadlines
company  Tata Consultancy Services
description  Prepared ETL mapping Documents for every mapping and Data Migration document for smooth transfer of project from development to testing environment and then to production environment Performed Unit testing and System testing to
validate data loads in the target Troubleshoot long running jobs and fixed the issues"
Hadoop,"Technical Skill Set Programming Languages Apache Hadoop Python shell scripting SQL Technologies Hive Pig Sqoop Flume Oozie Impala hdfs Tools Dataiku Unravel Cloudera Putty HUE Cloudera Manager Eclipse Resource Manager Initial Learning Program Tata Consultancy Services June 2015 to August 2015 Description This is a learning program conducted by TCS for the newly joined employees to accomplish them to learn the working standard of the organization During this period employee are groomed with various technical as well as ethical aspects Education Details 
BE Electronics  Communication Indore Madhya Pradesh Medicaps Institute of Technology  ManagementHadoop developerhadoophivesqoopflumepigmapreducepythonimpalasparkscalasqlunixSkill Details 
APACHE HADOOP SQOOP Exprience  31 months
Hadoop Exprience  31 months
HADOOP Exprience  31 months
Hive Exprience  31 months
SQOOP Exprience  31 months
python Exprience  Less than 1 year months
hdfs Exprience  Less than 1 year months
unix Exprience  Less than 1 year months
impala Exprience  Less than 1 year months
pig Exprience  Less than 1 year months
unravel Exprience  Less than 1 year months
mapreduce Exprience  Less than 1 year months
dataiku Exprience  Less than 1 year monthsCompany Details 
company  Tata Consultancy Services
description  Project Description
Data warehouse division has multiple products for injecting storing analysing and presenting data The Data Lake program is started to provide multitalent secure data hub to store applications data on Hadoop platform with strong data governance lineage auditing and monitoring capabilities The object of the project is to provide necessary engineering support to analytics and application teams so that they can focus on the business logic development In this project the major task is to set up the Hadoop cluster and govern all the activities which are required for the smooth functioning of various Hadoop ecosystems As the day and day data increasing so to provide stability to the ecosystem and smooth working of it Developing and automating the various requirement specific utilities
Responsibility 1 Developed proactive Health Check utility for Data Lake The utility proactively checks the smooth functioning of all Hadoop components on the cluster and sends the result to email in HTML format The utility is being used for daily Health Checks as well as after upgrades
2 Getting the data in different formats and processing the data in Hadoop ecosystem after filtering the data using the appropriate techniques
3 Developed data pipeline utility to ingest data from RDBMS database to Hive external tables using Sqoop commands The utility also offers the data quality check like row count validation
4 Developed and automated various cluster health check usage capacity related reports using Unix shell scripting
5 Optimization of hive queries in order to increase the performance and minimize the Hadoop resource utilizations
6 Creating flume agents to process the data to Hadoop ecosystem side
7 Performed benchmark testing on the Hive Queries and impala queries
8 Involved in setting up the cluster and its components like edge node and HA implementation of the services Hive Server2 Impala and HDFS
9 Filtering the required data from available data using different technologies like pig regex Serde etc
10 Dataiku benchmark testing on top of impala and hive in compare to Greenplum database
11 Moving the data from Greenplum database to Hadoop side with help of Sqoop pipeline process the data to Hadoop side and storing the data into hive tables to do the performance testing
12 Dealing with the Hadoop ecosystem related issues in order to provide stability to WM Hadoop ecosystem
13 Rescheduling of job from autosys job hosting to TWS job hosting for better performance
Declaration
I hereby declare that the above mentioned information is authentic to the best of my knowledge
company  Tata Consultancy Services
description  Clients 1 Barclays 2 Union bank of California UBC 3 Morgan Stanley MS
KEY PROJECTS HANDLED
Project Name ABSA Reconciliations UBC and WMDATALAKE COE
company  Tata Consultancy Services
description  Project Description
Migration of data from RDBMS database to Hive Hadoop ecosystem  Hadoop platform ability with strong data governance lineage auditing and monitoring capabilities The objective of this project was to speed up the data processing so that the analysis and decision making become easy Due to RDBMS limitations to process waste amount of data at once and produce the results at the earliest Client wanted to move the data to Hadoop ecosystem so that they can overcome from those limitations and focus on business improvement only
Responsibility 1 Optimising the SQL queries for those data which were not required to move from RDBMS to any other platform
2 Writing the Hive queries and logic to move the data from RDBMS to Hadoop ecosystem
3 Writing the hive queries to analyse the required data as per the business requirements
4 Optimization of hive queries in order to increase the performance and minimize the Hadoop resource utilizations
5 Writing the sqoop commands and scripts to move the data from RDBMS to Hadoop side
company  Tata Consultancy Services
description  Project Description
Create recs and migrating static setup of reconciliations from 81 version to 91 version of the environment Intellimatch
Responsibility 1 Have worked on extracting business requirements analyzing and implementing them in developing Recs 2 Worked on migrating static setup of reconciliations from 81 version to 91 version of the environment Intellimatch
3 Done the back end work where most of the things were related to writing the sql queries and provide the data for the new recs
Project Name   PSO"
Java Developer,"Computer Skills Languages And Script JSP Servlet HTML CSS Java Script Jquery Ajax Spring Hibernate Operating System Microsoft Windows 2003XPVista78 Databases My SQL Concepts OOPS Core java Advance java Development Tool Eclipse Net beans IDE Web Server Apache Tomcat 70Education Details 
January 2007 HSC  Amravati Maharashtra VidyaBharati college
January 2005 SSC  Amravati Maharashtra Holy Cross English SchoolJava DeveloperJava Developer  Kunal IT Services Pvt LtdSkill Details 
ECLIPSE Exprience  Less than 1 year months
JAVA Exprience  14 months
HIBERNATE Exprience  Less than 1 year months
SPRING Exprience  Less than 1 year months
jQuery Exprience  Less than 1 year monthsCompany Details 
company  Kunal IT Services Pvt Ltd
description  Currently Working As Java Developer In Winsol Solution Pvt Ltd From 1 July 2017 To Till Date
Experience Of  2 Yrs As A Java Developer In Kunal IT Services Pvt Ltd"
Network Security Engineer,"Skill Set Cisco Certified Network Associates CCNA   Basic knowledge of networking such as Ethernet mediums ethernet communication types of Ethernet communication devices etc  IPv4 Subnetting Supernetting  Basic configuration of Routing Switching Access lists Network Address Translation NAT Virtual LANs VLANs etc Cisco Certified Network Associates CCNASecurity   Basic security goals and need  Different types of attacks like access attacks reconnaissance strategies etc  Basic configuration of firewalls  Mitigation techniques such as access control lists private VLANs VLAN hopping IP source guard DHCP snooping Authentication Authorization  Accounting AAA IP Security IPsec etc Cisco Certified Network Professional CCNPRouting Switching  MPLS   RoutingConfiguration and concept of EIGRP OSPF and BGP  SwitchingVirtual LANs VLANs spanning tree protocol STP queuing etc  MPLS MultiProtocol Label Switching Basic idea about working types and modes of MPLS penultimate hopping in mpls etc Cisco Certified Network Professional Security ASA Module   Knowledge of Control Plane Security Management Plane Security and Data Plane Security  Knowledge of Network Telemetary NTP NetFlow Logging NAT fundamental on ASA  Firewall filtering technologies ASA modes of deployment ASA failover Security context Reputation based firewall Identity firewall Zone based firewall Projects TE Project Title Temperature Controlled Cooling Fan Academic Year 20162017 sem5 Description  This project simply senses the temperature level and turn ON the FAN when temperature is above set limit This project was developed with an aim to control the temperature of devices and reduce the damages of the devices because of heating Title Automatic Plant Watering System Academic Year 20162017 sem6 Description  This project simply senses the moisture level and turn ON the water pump when moisture is Education Details 
January 2018 BE Technology Mumbai Maharashtra Mumbai university
HSC Mahatma Gandhi High  Maharashtra State Board
SSC Mahatma Gandhi High  Maharashtra State Board
School  Junior CollegeNetwork Security EnginnerNetwork Security EngineerSkill Details 
Networking Exprience  Less than 1 year months
SubnettingSupernetting Exprience  Less than 1 year months
Access Lists Exprience  Less than 1 year months
ACLS Exprience  6 months
Network Address TranslationNAT Exprience  Less than 1 year months
VLAN Exprience  Less than 1 year months
AAA Exprience  Less than 1 year months
IPSec Exprience  Less than 1 year months
ACCESS CONTROL LISTS Exprience  6 months
DHCP Snooping Exprience  Less than 1 year months
Private Vlan Exprience  Less than 1 year months
VLAN Hopping Exprience  Less than 1 year months
VPN Exprience  Less than 1 year months
Routing protocolsRIPEIGRPOSPFBGP Exprience  Less than 1 year months
DMVPN Exprience  Less than 1 year months
Switching Exprience  Less than 1 year months
Control Plane Security Exprience  Less than 1 year months
Data Plane Security Exprience  Less than 1 year months
Management Plane Security Exprience  Less than 1 year months
Network Telemetary Exprience  Less than 1 year months
Firewall Exprience  Less than 1 year months
Firewall Filtering Technologies Exprience  Less than 1 year months
ASA Failovers Exprience  Less than 1 year months
Zone Based Firewall Exprience  Less than 1 year months
Reputation Based Firewall Exprience  Less than 1 year months
Security Context Exprience  Less than 1 year months
Security Exprience  Less than 1 year monthsCompany Details 
company  Stormfur Technologies LLP
description  Network Security Engineer
Stromfur Technologies LLP
August 2018Present
Troubleshoot firewall related incidents for customers
Solve technical problems relating to installing security solutions
Analyze security requirements of network system
Reviewed configuration and maintained Cisco ASA Firewalls routers and switches
Reviewed and modified access control lists ACLs on network switching and routing equipment as needed to maintain security standards
Participated in core network team to upgrade corporate network
Maintained network security technologies and services
Interacted with clients and analyzed operational requirements
Install and configured of IPSEC and SSL VPN
Reviewed and configured VLAN Routing Protocols RIP OSPF EIGRP NAT
Support for client in various networking issues"
