Category,Resume
Automation Testing,"TECHNICAL SKILLS Languages Core Java Automation Testing Tool Selenium with web driver and IDE DBMS MS SQL Server 20002005 Oracle 10g Operating System WindowsXP710 Education Details 
BSCIT   Mumbai UniversityAutomation TesterAutomation and Manual TesterSkill Details 
DATABASE MANAGEMENT SYSTEM Exprience  6 months
DBMS Exprience  6 months
JAVA Exprience  6 months
MS SQL SERVER Exprience  6 months
MS SQL SERVER 2000 Exprience  6 monthsCompany Details 
company  Capgemini India Pvt Ltd
description  Worked on Manual as well as automation testing
Started carrier as manual tester then after that moved to automation testing Now working as automation tester Worked on Selenium Webdriver
company  Na
description  Currently working with Capgemini Airoli as Consultant from 06th May 2013 to till the
date"
Blockchain,"SKILLS Bitcoin Ethereum Solidity Hyperledger Beginner Go Beginner R3 Corda Beginner Tendermint Nodejs C Programming Java Machine Learning specilaized in Brain Computer Interface Computer Networking and Server Admin Computer Vision Data Analytics Cloud Computing Reactjs angularEducation Details 
January 2014 to January 2018 Bachelor of Engineering Computer Science  Engineering  Thakur College of Engineering and Technology
September 2016 to March 2017  Dynamic Blood Bank System Mumbai Maharashtra IIT
January 2014 CBSE   Senior Secondary
January 2011 CBSE Banking  VIDYASHRAM PUBLIC SCHOOLBlockchain DeveloperBlockchain Developer  Zhypility TechnologiesSkill Details 
NETWORKING Exprience  27 months
DATA ANALYTICS Exprience  11 months
COMPUTER VISION Exprience  6 months
JAVA Exprience  6 months
MACHINE LEARNING Exprience  6 monthsCompany Details 
company  Zhypility Technologies
description  une 2018
company  Area Business Owner Amway Enterprise Limited
description  Business Strategizing Promotion Analytics and Networking Terms
company  Virtual
description  Developing Prototype of Smart India Hackthon to deployment level
3Networking And Switch Intern Bharti Airtel Private Limited Mumbai
company  1International Research Scholar University Of Rome Tor Vergata Rome
description  Nov 2017  Nov 2017
Has done research on Reality Based Brain computer Interface and proposed paper in International Journal of Advanced Research IJAR20656 accepted paper by reviewer and Smart Kisan Revolutionizing Country IJSRD accepted for publication
company  
description  under Reliance Jio Mumbai Dec 2017  Jan 2017
company  Maharastra State Government Hackthon
description  
company  Virtual
description  I was handling group of Interns in the marketing and sales team of nearby to promote on all social media platform the nearby products
company  Promotion And Stock Marketing Drums Foods International
description  
company  8Data Science And Web Analytics POSITRON INTERNET Virtual
description  
company  
description  I was making people aware about women equality rights and raise voice against violence through various modes of events and other sources of media to help the society
company  IIT Bombay And IIT KGP Startup
description  
company  IIT Bombay And IIT KGP Startup
description  "
Data Science,"Areas of Interest Deep Learning Control System Design Programming inPython Electric Machinery Web Development Analytics Technical Activities q Hindustan Aeronautics Limited Bangalore  For 4 weeks under the guidance of Mr Satish Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab Python and Java LabView Python WebFrameWorkDjango Flask LTSPICEintermediate Languages and and MIPOWERintermediate Github GitBash Jupyter Notebook Xampp MySQLBasics Python Software Packages InterpretersAnaconda Python2 Python3 Pycharm Java IDEEclipse Operating Systems Windows Ubuntu DebianKali Linux Education Details 
January 2019 BTech Electrical and Electronics Engineering  Manipal Institute of Technology
January 2015    DEEKSHA CENTER
January 2013    Little Flower Public School
August 2000    Manipal Academy of HigherDATA SCIENCEDATA SCIENCE AND ELECTRICAL ENTHUSIASTSkill Details 
Data Analysis Exprience  Less than 1 year months
excel Exprience  Less than 1 year months
Machine Learning Exprience  Less than 1 year months
mathematics Exprience  Less than 1 year months
Python Exprience  Less than 1 year months
Matlab Exprience  Less than 1 year months
Electrical Engineering Exprience  Less than 1 year months
Sql Exprience  Less than 1 year monthsCompany Details 
company  THEMATHCOMPANY
description  I am currently working with a Casino based operatorname not to be disclosed in MacauI need to segment the customers who visit their property based on the value the patrons bring into the companyBasically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it upHenceforth they can implement target marketing strategy to attract their customers who add value to the business"
Database,"Software Skills  RDBMS MS SQL SERVER 200020052008  2012 2014  Operating Systems WINDOWS XP7 WINDOWS SERVER 2008 12  Fundamentals MS Office 0307  Tools SSMS Performance Monitor Sql profiler SQL lite speed Company name Barclays Technology Centre India Team Size 24 Role Database Administrator Support Description Barclays Technology is a UK based retail  invest bank and 300 years of old bank It has operations in over 40 countries and employs approximately 120 000 people Barclays is organised into four core businesses Personal  Corporate Personal Banking Corporate Banking Wealth  Investment Management Barclaycard Investment Banking Responsibilities  Attending various calls from all over the world on various database issues  Working on Web Gui alerts and resolving incident tickets within the time lines  Troubleshoooting log shipping issues and fixing the related alerts  Identifying and Resolving Blocking and locking related issues  Configuration and monitoring Replication Log shipping and mirroring setup  Working on replication issues and Always ON issue  Granting and revoking permissions on various account provisioning tasks  Working on call support during the weekend and performing DR tests and working on weekly maintenance jobs and weekend change requests Education Details 
BSc Maths  Kakatiya University Board securedSQL server database administratorDatabase administratorSkill Details 
DATABASE Exprience  120 months
DATABASE ADMINISTRATOR Exprience  72 months
MAINTENANCE Exprience  48 months
MS SQL SERVER Exprience  48 months
REPLICATION Exprience  48 monthsCompany Details 
company  Barclays global services centre
description  SQL server databases implementation and maintenances
Log shipping replication High availability clustering performance tuning database mirroring Installation configuration upgradation migration
company  Wipro Infotech Pvt Ltd
description  SQL server database administrator
company  CITI Bank
description  Worked as Database Support at Accord Fintech Sanpada from Sep 2008 to 2013 Feb
company  
description  2012
Sound knowledge in Database Backup Restore Attach and Detach and Disaster Recovery procedures
Developed backup and recovery strategies for production environment
Ensuring data consistency in the database through DBCC and DMV commands
Experience in query tuning and stored procedures and troubleshooting performance issues
Having hands on experience in DR process including log shipping and database mirroring
Experience in scheduling   monitoring of Jobs
Experience in configure and troubleshooting in Always ON
Creating and Maintaining of Maintenance Plan
Expertise in planning and implementing MS SQL Server Security and Database permissions
Clear understanding of Implementation of Log Shipping Replication and mirroring of databases between the servers
Performance Tuning Performance Monitor SQL Profiler Query Analyzer      Security for server  Databases Implementing security by creating rolesusers
Added users in roles assigning rights to roles
Create and maintaining the linked servers between sql Instances
Create and maintaining and Database mail
Monitor and troubleshoot database issues
Creating DTS packages for executing the required tasks
Experts in create indexes Maintaining indexes and rebuilds and reorganizes
Daily Maintenance of SQL Servers included reviewing
SQL error logs Event Viewer"
DevOps Engineer,"Total IT Experience 15 years Core expertise in Data Base Design PHP Python MySql JavaScript HTML 5 Ajax Jquery XML Agile Methodology DevOps Methodology Scrum Framework JIRA Tool GIT Bitbucket Anjular JS 1 Angular JS 2 Core Java J2EE Education Details 
April 2004 MCM Computer Management Pune Maharashtra Pune University
April 1998 BSc Maths  Kerala UniversityProject ManagerProject ManagerSkill Details 
Data Base Design PHP Python MySql JavaScript HTML Ajax XML Agile Methodology DevOps Methodology Scrum Framework JIRA Tool GIT Bitbucket Jquery  AngularJs Amazon MWS  Bootstrap Nodejs Laravel Scrum Exprience  120 monthsCompany Details 
company  Knoxed Infotech Pvt Ltd
description   Client interaction
Maintain work processes
Creates project plans through Agile Model  Methodology
Maintains project objectives
Working with multiprofiled teams of technical and non technical stakeholders
Monitors production and quality to customerstakeholdersponsor standards
Conduct office management tasks
Ensuring that the daytoday operations of the business run smoothly
Introducing key performance indicators KPIs and ensuring that these measurements are tracked
and reviewed on a regular basis
Prepare revise and submit weeklymonthly reports budgets and other documentation as
necessary
Document current policies and procedures in all departments as well as implement new procedures
for improvement
Maintain smooth running of the office filling in where needed
Implement quality management and regulatory compliance strategies
Dealing with HR related tasks
Administering payroll
Perform training sessions
Regular meetings with Top Management
Project Undertaken  Internal ERP system For Knoxed Ltd UK With PHP Mysql Ajax XML
Amazon AWS Raspberry pi Server Python
company  Venturus International
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
QC
Maintain tasks and jobs on task management system
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken  Internal ERP system For Knoxed Ltd UK With PHP Mysql Ajax XML
Amazon AWS
company  SmashingDay
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
Project documentation
Conduct and maintain appraisals and progress of each employee
Adhere to deadlines as necessary
Maintain work logs
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken 
a wwwSmashingDaycom
b wwwviralsocialscom
company  Xento Systems Pvt Ltd
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
QC
Maintain tasks and jobs on task management system
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken 
a wwwfamilylinkcom
b wwwpropertysolutionscom
c wwwspeedyceuscom
d wwwceusnursingcom
company  STP Global Solutions Pvt Ltd
description   Client interaction
Creates project plans through Agile Model  Methodology
Manage teams workload and workflow
Allocate and track resources as required
Set and monitor deadlines
Conduct and maintain appraisals and progress of each employee
QC
Maintain tasks and jobs on task management system
Conduct research and development
Create new systems databases and websites as necessary
Project Undertaken 
a wwwstplafricaonlinecom
b wwwstplafricacom
c www1stexpertcom
d wwwjccanetorg
e wwwrimsyseu
f wwwprayerlisterorg
company  Promark Infotech Pvt Ltd
description   Development  Design
Create new systems databases and websites as necessary
Project Undertaken 
a wwwjustbecom
b wwwmtpiancom
c wwwsababanlbooking
d wwwphysicaltherapyhiucom
company  7cees Group
description   Development  Design
Create new systems databases and websites as necessary
Project Undertaken 
a Golwinreality
b Maza"
DotNet Developer,"Technical Skills  Languages C ASP NET MVC HTML CSS JavaScript AngularJs  Primary Skill Entity Framework  Tools Used SQL Server 14 Visual Studio 13 Project Details 1Project Name Transport Management System Role Dot Net Developer Platform Used MVC AngularJs SQL Server Description This project is about the Transport Management System This project is used to keeps all the record of the Vehicle Customer Employee Reduce costs with centralized planning and execution of logistics activities Vehicle owner can add his vehicle for rent of the specific day into the application from their location Admin can easily access the data of Vehicle Customer  Employee Responsibilities Used 3tier architecture for presentation layer the Business and Data Access Layers and were coded using C as per user Requirements Make changes in the project with discussing the group for new requirement Work on Customer and Vehicle model 2Project Name CRM Role Dot Net Developer Platform Used MVC SQL Server Description Its kind of CRM Application where a training institute can easily track their student data where we have different user store or access and utilise to manage this data with application Any user can easily fill the information of the leads comes in that institute also who joined or Convert that leads as a student in that institute All information can store or easily manage this application also the good leads or the student who didnt join but their records are store in this application so this application help institute to fetch all the contacts information or those leads or student who didnt join that time We can later contact to those leads in future Also with the application we get to know each and every leads or student who joined Responsibilities Used 3tier architecture for presentation layer the Business and Data Access Layers and were coded using C as per user Requirements Make changes in the project with discussing the group for new requirement Work on Enquiry model Key Strength  Adaptability  Hard Worker  Self Motivated  Positive AttitudeEducation Details 
January 2008 HSC   Maharashtra Board
January 2006 SSC   Maharashtra BoardDot Net DeveloperDot Net Developer  Glyphisoft TechnologySkill Details 
ASP Exprience  14 months
DOT Exprience  14 months
MODEL VIEW CONTROLLER Exprience  14 months
MODELVIEWCONTROLLER Exprience  14 months
MVC Exprience  14 monthsCompany Details 
company  Glyphisoft Technology
description  Having around 11 Years of experience in development in Aspnet MVC
Currently associated with Glyphisoft Technology Solution as net Developer"
ETL Developer,"Technical Summary  Knowledge of Informatica Power Center ver 91 and 10 ETL Tool Mapping designing usage of multiple transformations Integration of various data source like SQL Server tables Flat Files etc into target data warehouse  SQLPLSQL working knowledge on Microsoft SQL server 2010  Unix Work Description shell scripting error debugging  Job scheduling using Autosys Incident management and Change Requests through Service Now JIRA Agile Central  Basic knowledge of Intellimatch Reconciliation tool Education Details 
January 2010 to January 2014 BTech CSE Sangli Maharashtra Walchand College of Engineering
October 2009 HSC  Sangli Maharashtra Willingdon College
August 2007 SSC Achievements Sangli Maharashtra Martins English SchoolETL DeveloperIT AnalystSkill Details 
ETL Exprience  48 months
EXTRACT TRANSFORM AND LOAD Exprience  48 months
INFORMATICA Exprience  48 months
MS SQL SERVER Exprience  48 months
RECONCILIATION Exprience  48 months
Jira Exprience  36 monthsCompany Details 
company  Tata Consultancy Services
description  Project Details
ClientProject Barclays UK LondonHEXAD
Environment Informatica Power Center SQL Server UNIX Autosys Intellimatch
Project Description
The objective is to implement a strategic technical solution to support the governance and monitoring of break standards  including enhancements to audit capabilities As a part of this program the required remediation of source system data feeds involves consolidation of data into standardized feeds
These remediated data feeds will be consumed by ETL layer The reconciliation tool is
designed to source data from an ETL layer The data from the Front and Back office systems
together with static data must therefore be delivered to ETL Here it will be preprocessed and delivered to reconciliation tool before the reconciliation process can be performed
Role and Responsibilities
Responsible for analyzing designing and developing ETL strategies and processes
writing ETL specifications
Requirement gathering
Making functional documents and low level documents
Developing and debugging the Informatica mappings to resolve bugs and identify the causes of failures
User interaction to identify the issues with the data loaded through the application
Developed mappings using different transformations
company  Tata Consultancy Services
description  Project Details
ClientProject Barclays UK LondonHEXAD
Environment Informatica Power Center SQL Server UNIX Autosys Intellimatch
Project Description
The objective is to implement a strategic technical solution to support the governance and monitoring of break standards  including enhancements to audit capabilities As a part of this program the required remediation of source system data feeds involves consolidation of data into standardized feeds
These remediated data feeds will be consumed by ETL layer The reconciliation tool is
designed to source data from an ETL layer The data from the Front and Back office systems
together with static data must therefore be delivered to ETL Here it will be preprocessed and delivered to reconciliation tool before the reconciliation process can be performed
Role and Responsibilities
Responsible for analyzing designing and developing ETL strategies and processes
writing ETL specifications
Requirement gathering
Making functional documents and low level documents
Developing and debugging the Informatica mappings to resolve bugs and identify the causes of failures
User interaction to identify the issues with the data loaded through the application
Developed mappings using different transformations"
Hadoop,"Technical Skill Set Big Data Ecosystems Hadoop HDFS HBase Map Reduce Sqoop Hive Pig SparkCore Flume Other Language Scala CoreJava SQL PLSQL Sell Scripting ETL Tools Informatica Power Center8x96 Talend 56 Tools Eclipse Intellij Idea Platforms Windows Family Linux UNIX Cloudera Databases MySQL Oracle1011gEducation Details 
MCA  Pune MAHARASHTRA IN Pune UniversityHodoop DeveloperHodoop Developer  PRGX India Private Limited PuneSkill Details 
Company Details 
company  PRGX India Private Limited Pune
description  Team Size 10
Environment Hive Spark Sqoop Scala and Flume
Project Description
The bank wanted to help its customers to avail different products of the bank through analyzing their expenditure behavior The customers spending ranges from online shopping medical expenses in hospitals cash transactions and debit card usage etc the behavior allows the bank to create an analytical report and based on which the bank used to display the product offers on the customer portal which was built using java The portal allows the customers to login and see their transactions which they make on a day to day basis the analytics also help the customers plan their budgets through the budget watch and my financial forecast applications embedded into the portal The portal used hadoop framework to analyes the data as per the rules and regulations placed by the regulators from the respective countries The offers and the interest rates also complied with the regulations and all these processing was done using the hadoop framework as big data analytics system
Role  Responsibilities
Import data from legacy system to hadoop using Sqoop flume
Implement the business logic to analyses  the data
Perprocess data using spark
Create hive script and loading data into hive
Sourcing various attributes to the data processing logic to retrieve the correct results
Project 2
company  PRGX India Private Limited Pune
description  
company  PRGX India Private Limited Pune
description  Team Size 11
Environment Hadoop HDFS Hive Sqoop MySQL Map Reduce
Project Description
The Purpose of this project is to store terabytes of information from the web application and extract meaningful information out of itthe solution was based on the open source sw hadoop The data will be stored in hadoop file system and processed using MapReduce jobs Which in trun includes getting the raw html data from the micro websites process the html to obtain product and user information extract various reports out of the vistor tracking information and export the information for further processing
Role  Responsibilities
Move all crawl data flat files generated from various micro sites to HDFS for further processing
Sqoop implementation for interaction with database
Write Map Reduce scripts to process the data file
Create hive tables to store the processed data in tabular formats
Reports creation from hive data
Project 3
company  PRGX India Private Limited Pune
description  Team Size 15
Environment Informatica 95 Oracle11g UNIX
Project Description
Pfizer Inc is an American global pharmaceutical corporation headquartered in New York City The main objective of the project is to build a Development Data Repository for Pfizer Inc Because all the downstream application are like Etrack TSP database RTS SADMS GFS GDO having their own sql request on the OLTP system directly due to which the performance of OLTP system goes slows down For this we have created a Development Data Repository to replace the entire sql request directly on the OLTP system DDR process extracts all clinical preclinical study product subject sites related information from the upstream applications like EPECS CDSS RCM PRC ECLINICAL EDH and after applying some business logic put it into DDR core tables From these snapshot and dimensional layer are created which are used for reporting application
Role  Responsibilities
To understand  analyze the requirement documents and resolve the queries
To design Informatica mappings by using various basic transformations like Filter Router Source qualifier Lookup etc and advance transformations like Aggregators Joiner Sorters and so on
Perform cross Unit and Integration testing for mappings developed within the team Reporting bugs and bug fixing
Create workflowbatches and set the session dependencies
Implemented Change Data Capture using mapping parameters SCD and SK generation
Developed Mapplet reusable transformations to populate the data into data warehouse
Created Sessions  Worklets using workflow Manager to load the data into the Target Database
Involved in Unit Case Testing UTC
Performing Unit Testing and UAT for SCD Type1Type2 fact load and CDC implementation
Personal Scan
Address Jijayi Heights Flat no 118 Narhe Police chowki Pune 411041"
Java Developer,"Education Details 
BE IT   pjlceJava DeveloperJava DeveloperSkill Details 
c Exprience  Less than 1 year months
c Exprience  Less than 1 year months
JAVA Exprience  Less than 1 year months
DS Exprience  Less than 1 year months
Jdbc Exprience  24 months
Hibernate Exprience  Less than 1 year months
Java J2Ee Exprience  Less than 1 year months
Javascript Exprience  6 months
JQuery Exprience  6 months
Ajax Exprience  6 monthsCompany Details 
company  Almighty tech pvt ltd nagpur
description  1 As a Java Developer
ORGANISATION Almighty tech pvt ltd Nagpur
DESIGNATION Java Developer
DURATION From 1st jan 2018
Notice Period 15 days
JOB RESPONSIBILITIES
Resolve Bugs
Develop project as per user requirement
KNOWLEDGE ABOUT
Programming language C C DS JavaSwing JDBC J2EE java scriptjqueryAjax
Ms office Excel"
Network Security Engineer,"Communication Skills My writing skills in English is very good and I am certainly a clear speaker Being comfortable speaking in front of an audience I can easily facilitate meetings and brainstorming sessions Interpersonal Skills As a friendly polite person with positive attitude I work well with others and deal with difficult situations in a careful and considerate manner Learning Skills I have a high capacity for learning pick up new skills and ideas quickly and generally thrive on challenges Enthusiasm and creativity give me an edge on difficult projects Problem Solving Skills My analytical skills help me troubleshoot problems and uncover root causes I am creative and tenaciousEducation Details 
July 2012 to April 2015 Bachelor of Science INFORMATION TECHNOLOGY Mumbai Maharashtra Akbar Peerbhoy College of Comm  Eco University of Mumbai
June 2008 to April 2010   Jaunpur Uttar Pradesh Janta Inter College Jaunpur
May 2006 to April 2008   Jaunpur Uttar Pradesh Inter College JaunpurNetwork Security EngineerSkill Details 
Network Security Network Administration Firewall and VPN Configuration Routing and Switching Exprience  24 monthsCompany Details 
company  Karvy Innotech LTD
description   Managing network of Mahindra  Mahindra Financial services limited both internal and at PAN India level
Installation setup  configuration troubleshooting Tuning diagnostics and maintenance of IT security related Equipment
Maintaining all network devices such as Routers Switches Firewall WiFi Devices
Troubleshoot performance and availability issues on security devices such as firewalls UTM Content Filtering solutions and Handling daily calls related to network and network security
Manage and administer the VPN connectivity with organizations clients
Implement Policy Changes Configure URL filtering  security policies on UTM appliances 
Monitor alerts received from the monitoring systems and take appropriate action based on the defined processes
Follow the SLAs and procedures already defined for security device management
Coordinating with ISPs like TATA Airtel Reliance Vodafone Sify Tikona  HCL Comnet for all WAN related issues
Configuration and Troubleshooting of Site to Site IPSEC VPN between HO and Remote Branches
Maintaining inventory on monthly basis of all network devices
LAN Connectivity issues Crimping Rack Mounting 
Reporting to CISO of Mahindra Finance for all network related queries and solutions"
